wine_alcohol,wine_category,wine_country,wine_description,wine_name,wine_point,wine_price,wine_region,wine_variety
N/A,Port/Sherry,Portugal,"This wine's red berry flavor and soft structure suggest that it will age quickly. However, for now it offers a ripe texture and a juicy character. ",Burmester 2009 Quinta de Arnozelo Vintage  (Port),87,75,Port,Port
N/A,Port/Sherry,Portugal,"An awkward geranium aroma mars this firm and concentrated wine. It's dry and tannic, with a solid edge akin to black currant skin. The fruit is well hidden at this stage. ",Quevedo 2010 Vintage  (Port),87,70,Port,Port
N/A,Port/Sherry,Portugal,"This is initially soft, then it broadens out with caramel and ripe plum flavors. Dark cherry sweetens the core of acidity and firm tannins. The wine has good potential. ",Barros 2009 Vintage  (Port),88,65,Port,Port
N/A,Port/Sherry,Portugal,"A ripe wine from the Real Companhia Velha, this shows a rich character, its tannins ripe and generous. It's not a huge wine, but it does show a fine, full-bodied flavor of sweet plum. The final feeling is smooth and opulent. ",Royal Oporto 2009 Vintage  (Port),88,60,Port,Port
14%,Red,Portugal,"This big, bold, structured offering is full of ripe blackberry flavor and integrated tannins. It is intensely rich and already delicious. Bomfim is the main winery for the Dow Port brand. ",Symington Family Estates 2009 Vale do Bomfim Red (Douro),88,12,Douro,Portuguese Red
20%,Port/Sherry,Portugal,"This 10-year-old tawny is on the fruity side of this style. It is an easy, dried-fruit-flavored wine with a texture like smooth toffee. Hints of apricot and milk chocolate grace the finish of this ripe Port. ",Barão de Vilar NV 10 Anos Collections Tawny  (Port),88,10,Port,Port
19.5%,Port/Sherry,Portugal,"This Port is structured, with notes of mint and herb. It has blackberry jam flavor and a firm, solid structure, while it also shows intense youthful fruitiness. It is rich and full, showing some firm tannins. Either drink it right now, or leave it for 10 years. ",Quevedo 2010 Quinta Vale d'Agodinho Vintage  (Port),88,75,Port,Port
20%,Port/Sherry,Portugal,"This is a finely balanced LBV with structure complementing the luscious black-fruit and raisin flavors. The wine is rich and densely textured, very smooth and unctuous. Big tannins suggest that the wine could age. ",Dão Sul 2008 Quinta das Tecedeiras LBV Late Bottled Vintage  (Port),89,20,Port,Port
13%,Red,Portugal,"Ripe and complex, this has big, spicy fruit that rises above the tannins to give a sweet, full mouthfeel. Below the fruit, the dry tannins and wood aging promise the aging potential of three years. ",Prats & Symington LDA 2010 Post Scriptum de Chryseia Red (Douro),90,24,Douro,Portuguese Red
13.5%,Red,Portugal,"Sourced from old vines, this elegant offering shows delicious fruit and great depth of flavor. The tannins slide easily into the red berry note and layered acidity. It shows the structure of the Douro while maintaing an accessible style. ",Symington Family Estates 2009 Vale do Bomfim Reserva Red (Douro),91,25,Douro,Portuguese Red
14%,Red,Portugal,"Smooth and rich, this is full of generous, opulent black-fruit flavors. This second wine from the legendary Vesuvio estate is a grand cru in its own right—powerful, structured and full of extremely ripe fruit. It is delicious, but will benefit from 3–4 years of aging. ",Quinta do Vesuvio 2009 Pombal de Vesuvio Red (Douro),92,28,Douro,Portuguese Red
14.5%,Red,Portugal,"Still an icon of Douro reds, this is marked by elegance. The fruit blends effortlessly with the acid-laced, firm tannins. It has fine potential for aging over at least five years. ",Prats & Symington LDA 2009 Chryseia Red (Douro),94,55,Douro,Portuguese Red
13.5%,Red,Portugal,"Capable of standing alongside the great Ports of Vesuvio, this table wine reveals the fantastic quality of its vineyard. It is both powerful and elegant, a wood-aged wine bearing a dense, dark flavor of black plum, with damson-tinged acidity. This impressive wine needs more than 5–6 years of aging. ",Quinta do Vesuvio 2009 Red (Douro),95,73,Douro,Portuguese Red
16.4%,Red,US,"Soft and sweet, this manages to combine Port-like and vegetal flavors in the same glass. The alcohol is an unmanageable 16.4% by volume. ",Hoyt Family Vineyards 2009 Dylema Red (Paso Robles),80,22,California,Red Blends
16.2%,Red,US,"This is a sound example of the warm-climate style of Zinfandel. It's high alcohol gives it a hot, chili-pepper-like sting, and the blackberry fruit has a Port-like, raisiny edge. ",Turley 2010 Dogtown Vineyard Zinfandel (Lodi),84,38,California,Zinfandel
15.2%,Red,US,"This smells dark and bold, offering Port-like aromas of chocolate ganache, buttercream frosting, brown spice and sun-baked fruit. Hearty and toasty, the palate packs plenty of muscle in the form of strapping tannins and supporting acids. Pair this with seared flank steak with a coffee-soy rub to accent the wine's decadence. ",Breaux 2007 Meritage Cabernet Sauvignon-Merlot-Malbec-Petit Verdot-Cabernet Franc Red (Virginia),87,32,Virginia,Bordeaux-style Red Blend
15%,Red,Spain,"This is heavy and raisiny, with ripe earth and mineral aromas that are suggestive of Port. It feels loaded and scratchy, with licorice, prune and pepper flavors that finish short and with some heat. A bullish style to drink now. ",Cyan 2010 8 Meses  (Toro),87,15,Northern Spain,Tinta de Toro
20%,Port/Sherry,US,"The nose drips with browned butter and herbal liqueur accents, with added complexities of spiced fruitcake, cocoa and roasted nut. Huge in flavor, the palate is chocolaty and nutty, with a salient oloroso-like quality. It finishes on a gutsy toasted-almond note. ",Mount Pleasant Winery NV Tawny  Library Vol. XIV Port (Augusta),87,55,Missouri,Port
18%,Port/Sherry,US,"A compelling Port-like wine made from Petite Sirah, ZInfandel and Syrah grapes aged more than 10 years to form this mix of almonds and sweet apple pie laced with caramel, smooth and easy to drink and pleasant in its Armagnac-like aromas. The almonds come back, laced in maple syrup, on the finish. ",Fenestra NV Tawny Port Port (Lodi),88,35,California,Port
15%,Red,US,"Ripe to the point of smelling like Port, this is a wine for those who relish sweet flavors of raisin, cooked fig, and ultraripe tree fruit in their Cabernets. This has so much fruit it almost seems to have some sweetness. Drink this soon, while some youthful freshness remains. ",Adams Bench 2009 the V Cabernet Sauvignon (Columbia Valley (WA)),89,49,Washington,Cabernet Sauvignon
14.8%,Red,US,"This shows the Rockpile personality with its intensely jammy raspberry, cherry and chocolate flavors that are accented by a bit of Port-like heat and set off by good acidity. The pleasure is in the power. ",Bruliam 2010 Rocky Ridge Vineyard Zinfandel (Rockpile),89,35,California,Zinfandel
18%,Port/Sherry,Spain,"Golden-brown in color, this has heady aromas of cola, nut, nutmeg, root beer and caramel. It feels full, slightly rich and properly cut, with coffee, toffee, chocolate and honey flavors. A balanced but elevated dessert-style Sherry that gets it right. ",Bodegas Dios Baco S.L. NV Cream Sherry Sherry (Jerez),90,15,Andalucia,Sherry
18%,Port/Sherry,Spain,"With a nose of toffee, dried apricot, cocoa powder and rancio, this is classic off-dry amontillado. It feels fresh and active, then tastes rich and moderately sweet, with flavors of hazelnut, caramel, toasted banana, orange and spice. Nutty and smooth on the finish. ",Bodegas Dios Baco S.L. NV Amontillado Sherry (Jerez),90,15,Andalucia,Sherry
17%,Port/Sherry,Spain,"A sensuous sweet Sherry, this has the full monty of fig, date, licorice, root beer and chocolate aromas and flavors. It's naturally thick and sweet but also balanced, so it doesn't come across like a spoonful of syrup. Great as a dessert wine with cake or blue cheese, but also as a topping for vanilla or coffee ice cream. ",Bodegas Dios Baco S.L. NV Oxford 1.970 Pedro Ximénez (Jerez),91,15,Andalucia,Pedro Ximénez
19%,Dessert,US,"Gorgeous and authentic, this full-flavored, Port-style wine renders deep, flavors of black cherry and cassis liqueur. Dark veins of chocolate syrup and coffee liqueur pump through the mix, making it smooth as butter. It's a wine that could age—but why wait? ",Thurston Wolfe 2009 Touriga Nacional Port (Yakima Valley),92,16,Washington,Port
19%,Dessert,US,"Opulento is made entirely- with authentic Portuguese varieties, based on 60% Touriga Nacional. It's truly Port-like in flavor, showing deep notes of black cherry and cassis fruit. Smooth and supple, this is thoroughly delicious and should not be missed. ",Brian Carter 2009 Opulento Dessert Wine Touriga-Souzao-Tinto Cão Port (Yakima Valley),94,20,Washington,Port
14.2%,Red,US,"In this wine, it appears that 2008's late-season heat spikes got the best of the grapes. The wine has raisiny, Port-like aromas and tastes, with bitterness from shriveled raisin skins. It doesn't offer much pleasure. ",Martin Ranch 2008 Thérèse Vineyards Cabernet Sauvignon (Santa Cruz Mountains),81,45,California,Cabernet Sauvignon
14.9%,Red,US,"This is so overripe that it tastes like Port, with raisin and milk chocolate flavors, and a hot, spicy finish. ",X 2008 Mash Red (Napa Valley),81,60,California,Red Blends
14.2%,Red,US,"This is a fruit-driven, sharp and Port-like red wine, blended from Petit Verdot, Malbec, Grenache and Nebbiolo. ",X 2009 Saved Red (California),81,35,California,Red Blends
14%,Red,US,"This tastes like Port, with raisin, prune and chocolate flavors. Drink up. ",Martin Ranch 2008 J.D. Hurley Cabernet Sauvignon (Santa Cruz Mountains),81,25,California,Cabernet Sauvignon
15.4%,Red,US,"Thick and heavy, this is Port-like in its toffee and raisin aromas, with a trace of licorice in the background. Its syrupy consistency almost expresses an air of oxidation. ",Domenico 2007 Primitivo (Amador County),83,30,California,Primitivo
13.5%,Red,Portugal,"This jammy, fruity offering tastes as though it were made from overripe fruit. Its light structure offers acidity and a Port-like character. Not for aging. ",Quinta de Ventozelo 2010 QV Tinto Red (Douro),84,13,Douro,Portuguese Red
14.5%,Red,US,"From a vineyard west of Ukiah, Jacuzzi Family's Barbera seems tartly sweet, akin to raspberry syrup laced with vanilla. Soft and round, it has a finish like that of an aged Port. ",Jacuzzi 2010 Barbera (Mendocino County),84,16,California,Barbera
12.5%,White,Portugal,"The historic Port house of Delaforce has now launched its own Douro table wines, and this Alvarinho is soft and fruity. It has a creamy initial texture followed by touches of vanilla and quince. This is not for aging, so drink it now. ",Delaforce 2011 Alvarinho (Duriense),85,17,Duriense,Alvarinho
15.2%,Red,US,"High alcohol and very ripe fruit combine to make this reminiscent of Port. It tastes of black currant and blackberry jam, with a hint of raisin. Although it won't please everyone, it is a good example of its warm-climate style. ",Dunning Vineyards 2010 Reserve Zinfandel (Paso Robles),85,38,California,Zinfandel
14.7%,Red,US,"It's easy to imagine drinking this wine—and really enjoying it—in Paso Robles with a grilled steak. It's rich, heady and ripe in black currants, with a Port-like, raisiny taste. ",La Filice 2009 Via Della Vigna Red (Paso Robles),87,25,California,Red Blends
15.4%,Red,US,"While this Cabernet is very rich and ripe in flavors of blackberry and cherry jam, crème de cassis and new oak, it's also very tannic. That bite of astringency gives it a rustic note. A very high, Port-like alcohol level may or may not thwart cellaring plans. ",Grgich Hills 2008 Yountville Selection Cabernet Sauvignon (Napa Valley),88,150,California,Cabernet Sauvignon
14.5%,Red,Chile,"At first it almost smells too Port-like, but then peppery spice enters the picture and it takes off. And while it weighs a ton and shows some aggression, it's lovable for its pure blackberry and complex spice and chocolate flavors. Long and grabby on the finish, with big tannins. Drink now, or hold through 2020. ",Estampa 2008 Lacruz Red (Colchagua Valley),92,55,Colchagua Valley,Red Blends
14.8%,Red,US,"This is too ripe, with a disagreeable pruny taste. The wine is dry and full bodied, but is almost like a minor Port. The official alcohol reading is 14.8% by volume, but it tastes higher and hotter than that. ",Heart O' The Mountain 2009 Estate Reserve Pinot Noir (Santa Cruz Mountains),82,48,California,Pinot Noir
16.2%,Red,US,"This seems so sweet, it's practically a Port dessert wine. It's soft and simple, with chocolate and blackberry jam flavors. ",Calcareous 2010 Zinfandel (Paso Robles),82,34,California,Zinfandel
15.4%,Red,US,"With very high alcohol, this is almost a dessert, Port-style wine. It's soft and hot, with sweet blackberry jam, milk chocolate and licorice flavors. ",Minassian-Young 2010 Estate Zinfandel (Paso Robles),84,25,California,Zinfandel
14.8%,Red,US,"This seems sweet like a Port. It tastes like raspberry and cherry jam, with lots of heat from the alcohol. ",Minassian-Young 2010 1000 Vines Zinfandel (Paso Robles),84,25,California,Zinfandel
13%,White,France,"This is a pleasantly quaffable Viognier, with restrained apricot and melon aromas and flavors. It's medium bodied, without much texture, but a clean, refreshing finish. ",Paul Jaboulet Aîné 2009 Secret de Famille Viognier (Vin de Pays des Portes de Méditerranée),85,18,France Other,Viognier
18.5%,Dessert,US,"This is quite a sweet wine, rich and heady in chocolate, blackberry and blueberry jam and caramel flavors. It could be more concentrated, as it's a little thin. The variety is Petite Sirah. ",Field Stone 2008 Staten Family Reserve Vintage Port (Alexander Valley),86,50,California,Port
19%,Dessert,US,"Intense sweetness goes a long way toward making this dessert wine delicious and satisfying. While it's a bit lacking in fruity concentration, it does have good blackberry and milk chocolate flavors. ",Valley of the Moon 2007 Late Bottled Vintage Port (Sonoma County),86,30,California,Port
16.5%,Port/Sherry,France,"A fortified blend of Tannat and Malbec, this is a ripe and sweet, styled like a vintage Port. It has a powerful structure from the two tannic grapes in the blend, along with ripe damson fruit and spice, with acidity on the finish. ",Lionel Osmin & Cie 2010 Estela Vintage Red (Vin de Liqueur),88,24,France Other,Red Blends
20%,Port/Sherry,Portugal,"Rich and fruity, this is rounded as well as concentrated. It's on the sweet side, yet its acidity and blend of black and dried fruits are finely balanced. Like all LBVs, it can be consumed now, but it can also age over several years. ",Quinta do Portal 2007 Late Bottled Vintage  (Port),89,25,Port,Port
20%,Port/Sherry,Portugal,"This is rich, with an old wood feel and a sweet, still-fruity character. With its acid balance, this is fresh, round and perfumed. ",Barros NV 20-Years Old Tawny  (Port),90,20,Port,Port
20%,Port/Sherry,Portugal,"Approaching tawny in color, this is a mature white Port. It has a wood-aged tang, with spice and toast flavors that have given the wine an old gold feel. The surface is sweet, yet there is an underlying dryness. ",Cálem NV 10-Years Old White  (Port),91,61,Port,Port
20%,Port/Sherry,Portugal,"Deep and dark, this has powerful herb and spice flavors alongside the concentrated tannins and notes of ripe black fruits and raisins. This has impressive density and is still youthful, demonstrating fine aging potential. ",Quinta do Portal 2009 Vintage  (Port),92,70,Port,Port
15%,Red,Argentina,"Big and modern, this has simmering aromas of turned earth, graham cracker, leather, plum and blackberry. It feels megasaturated but well balanced, with hugely ripe black-fruit, chocolate and toasted marshmallow flavors. Warm and nearly Port-like, this is full of toffee and fudge notes on the finish. It's a flashy, polished, 21st-century red wine. ",Doña Silvina 2007 Reserva Malbec (Mendoza),93,69,Mendoza Province,Malbec
15.2%,Red,US,"The high alcohol shows through everything else, giving this Zin a chili pepper heat and a distracting Port-like sensation. It's rich and dry, with firm tannins framing the blackberry and currant flavors. ",Rosenblum 2010 Richard Sauret Reserve Zinfandel (Paso Robles),86,30,California,Zinfandel
15%,Port/Sherry,Spain,"This is a touch wheaty and creamy on the nose, with moderate oxidation for a manzanilla. Lemony acidity keeps things tangy and crisp, while the flavors are fresh and nutty, with controlled acidic sharpness. Dry nut notes and an apricot-related tang carry the finish. ",Bodegas Dios Baco S.L. NV Manzanilla Riá Pitá Sherry (Manzanilla-Sanlúcar de Barrameda),86,10,Andalucia,Sherry
15.9%,Red,US,"This shows the superhigh alcohol that Zins from this vineyard often achieve. It's bone dry, but it has a heaviness and heat that make it Port-like, with black currant, prune and dark chocolate flavors. ",Rosenblum 2010 Monte Rosso Vineyard Zinfandel (Sonoma Valley),87,45,California,Zinfandel
15%,Port/Sherry,Spain,"A mild stone-fruit aroma comes with rancio and butterscotch hints. It feels dry and fresh, with good body weight and crisp, briney flavors that are accented by notes of salted nut and dried apricot. Mild on the finish, with medium length and drive. ",Bodegas Dios Baco S.L. NV Bulería Fino Sherry (Jerez),87,17,Andalucia,Sherry
13.8%,Red,US,"Dark and ripe, beyond Port-like, with flavors of raisin, prune, brown sugar and molasses. It has a base of tart acids, but the fruit tastes scorched. ",Girardet 2009 Row 17 Deerwood Vineyard Pinot Noir (Umpqua Valley),83,100,Oregon,Pinot Noir
20%,Port/Sherry,Portugal,"A drier style of white Port, its richness coming from concentrated flavors of spice, almond and vanilla. There is some good acidity to give the wine a refreshing aftertaste, leaving a flavor of dried oregano along with the spirit. ",Niepoort NV Dry White  (Port),87,18,Port,Port
20%,Port/Sherry,Portugal,"In the hands of master blender Dirk Niepoort, even a straight tawny style has depth of flavor and intensity. The wine has red fruit, layered with concentrated acidity, a hint of wood aging, and remains fresh and fruity. ",Niepoort NV Tawny  (Port),88,19,Port,Port
20%,Port/Sherry,Portugal,"From a top vintage year, this LBV has a fine richness and dry core to its blackberry-jelly and spice flavors. Despite being softened by wood aging, it could withstand a few more years in bottle. ",Niepoort 2007 Late Bottled Vintage  (Port),89,30,Port,Port
20%,Port/Sherry,Portugal,"A finely balanced wine that combines rich red fruit flavors with acidity, a slight tang from the spirit and a feeling of warmth and roundness. It finishes with an almond note and fresh acidity. ",Niepoort NV 10 Years Old Tawny  (Port),90,50,Port,Port
20%,Port/Sherry,Portugal,"In the full Fonseca style, this aged tawny shows both rich fruit and a more serious wood-aged character. Good acidity follows the sweet initial taste, broadening into ripe flavors of nut, plum jelly, and a final crisp acidity. ",Fonseca NV 10 Year Old Tawny  (Port),90,10,Port,Port
20%,Port/Sherry,Portugal,"Still retaining its fruitiness, this smooth aged tawny offers red-fruit and caramel flavors, layered with notes from wood aging. Drier than some aged tawnies, it has a smoky character to go with its ripe feel. ",Taylor Fladgate NV 10 Year Old Tawny  (Port),90,10,Port,Port
20.5%,Port/Sherry,Portugal,"Hovering easily between red-fruit flavors and a more mature wood-aged taste, this is a smooth Port. It is dominated by a rich texture, both juicy and spicy with a smoky hint. ",Niepoort 2001 Colheita  (Port),90,44,Port,Port
20%,Port/Sherry,Portugal,"Bottled in January 2012, this classic LBV has great perfumed fruit, soft and elegant. A blackberry jam flavor dominates, laced with black cherries and soft tannins. Immediately appealing and drinkable now. ",Taylor Fladgate 2007 Late Bottled Vintage  (Port),91,18,Port,Port
20%,Port/Sherry,Portugal,"A deliciously satisfying wood-aged Port. It has an intense fruitiness, with layers of acidity and oxidated notes. It's concentrated, yet shows lightness and poise. ",Niepoort NV 20 Years Old Tawny  (Port),93,92,Port,Port
20%,Port/Sherry,Portugal,"A complex, wood aged wine, this 20-year-old has a perfumed, dry style. Walnut and spice flavors blend together with the spirit and mature acidity. It's rich, with just the right amount of age. ",Taylor Fladgate NV 20 Year Old Tawny  (Port),93,50,Port,Port
20%,Port/Sherry,Portugal,"The wood aging has not yet left the fruit behind in this warm, rich yet dry Port. It has intense concentration, the herbs and spices showing through the rich, smooth texture. The aftertaste is rounded, even with its fortified edge. ",Niepoort 1998 Colheita  (Port),93,53,Port,Port
20%,Port/Sherry,Portugal,"A gorgeous Port at that right stage where there is still freshness and hints of orange and dried fruits, while the wood aging is concentrating the wine into its essence. It is rich, full, yet at the same time has a great tang of spirit and acidity. ",Fonseca NV 20 Year Old Tawny  (Port),94,50,Port,Port
20.5%,Port/Sherry,Portugal,"Gold in color, this is a wood-aged Port. Despite being 26 years old, it is still lively, almost fruity. The wood character does certainly show strongly, but so do the delicious caramel and toffee flavors, which are balanced by an intense acidity. Like all Colheitas, it is ready to drink. ",Niepoort 1986 Colheita  (Port),94,80,Port,Port
20%,Port/Sherry,Portugal,"Now that the color of this superb wine has gone to old gold, it has definitely become a gloriously mature Port. The color translates into sweetness, which is allied to acidity, richness and an immense intensity due to its long wood aging. ",Niepoort 1984 Colheita  (Port),94,100,Port,Port
20.5%,Port/Sherry,Portugal,"A powerful, almost black-colored Port. It has the richness of the vintage allied to ripe blackberry flavors, and a mineral, tannic structure. Its great fruit makes it almost drinkable now, but aging will add so many more dimensions. ",Niepoort 2009 Vintage  (Port),95,90,Port,Port
20.5%,Port/Sherry,Portugal,"Old-gold in color, this wine has concentrated flavors with an almost medicinal intensity. Old wood and acidity form a dominant element along with a note of orange peel. A memorable wine for savoring. ",Niepoort NV 30 Years Old Tawny  (Port),96,200,Port,Port
20%,Port/Sherry,Portugal,"Powerful and dense, this wine exudes the darkest of tannins as well as intense black fruit. Layers of richness and structure show in this Port's considerable ageability, while its acidity lends freshness. This is a wine that should be aged for 15 years or more. ",Niepoort 2005 Vintage  (Port),97,95,Port,Port
19.7%,Port/Sherry,US,"Dark honey gold in color, this is reminiscent of cider. It's an interesting use of ripe Chardonnay, but finishes overly sour, almost bitter. ",3 Steves Winery NV Chardonnay (Livermore Valley),82,22,California,Chardonnay
14.9%,Red,US,"This wine has flavors of wild blackberry, blueberry and mocha, with a rich vein of herb, tobacco and spice. However, it's hot in alcohol, and finishes with glyceriney sweetness—almost like a minor Port. Drink up. ",Kuleto Estate 2009 Zinfandel (Napa Valley),86,35,California,Zinfandel
15.1%,Red,US,"High alcohol, and possibly a little residual sugar, give this 100% Zin a definite sweet edge, like raspberry Port. It's very smooth and soft in the mouth. ",Ridge 2010 East Bench Zinfandel (Dry Creek Valley),87,28,California,Zinfandel
19.1%,Port/Sherry,US,"Dark black like the grapes it's made from. Once you get past its high alcohol, this has powerful flavors of dark chocolate, tar and baked plums. ",Stuessy Cellars 2010 My Sweet Petite Petite Sirah (Suisun Valley),87,23,California,Petite Sirah
15.3%,Red,US,"Aged in 100% new French oak, this 100% Cabernet is big, sweet and tannic. It's offering little beyond exceptionally rich, ripe flavors of blackberries, black currants and dark chocolate. It's almost like a Port wine whose high alcohol is an integral part of the package. Shows the dramatic flair of all Shafer's red wines, but you might want to cellar it for 5–6 years. ",Shafer 2009 One Point Five Cabernet Sauvignon (Stags Leap District),92,70,California,Cabernet Sauvignon
14.5%,Red,US,"Tastes almost as sweet and fruity as a minor Port, with milk chocolate, raisin and molasses flavors. It's a bit soft and warm. ",Graton Ridge 2010 Bacigalupi Vineyards Zinfandel (Russian River Valley),84,48,California,Zinfandel
14.7%,Red,US,"Very ripe and fruity, this has a rich, glycerine-driven sweetness, like a tangy ruby Port. It's delicious in blackberry jam and caramel flavors, with intricate tannins and fine, citrusy acids. ",Keever 2009 Inspirado Red (Napa Valley),88,68,California,Bordeaux-style Red Blend
14.8%,Red,Argentina,"This is prickly and spicy on first take, followed by an aromatic wave of ripe berry and tobacco. It feels jammy and almost heavy, with creamy, milkshake flavors of blackberry, vanilla and cream, and a warm, Port-like finish. A blend of 50% Cabernet Sauvignon, 30% Merlot and 20%; drink now–2014. ",Antucura 2007 Calcura Red (Mendoza),90,20,Mendoza Province,Red Blends
16.3%,Red,US,"The winery goes to great lengths not to reveal the sources or grape varieties of this wine. The alcohol is very high, but the wine is an exemplary representative of the style, which is not uncommon in California. Fantastically ripe, this has flavors of dessert pastry cherries, raspberries and mocha. It finishes dry despite its Port-like richness. ",Sanguis 2008 The Ballad of John Henry (r.i.p.) Red (California),92,65,California,Red Blends
15.7%,Red,US,"High in alcohol, this full-bodied Syrah is almost like Port, with flavors of blackberry and blueberry jam and milk chocolate. It's pretty tannic, too. Not for everyone, but lays claim to the lush, opulent style. ",Sanguis 2008 The Prophet Syrah (California),92,75,California,Syrah
20%,Port/Sherry,Portugal,"This rich wine is still just fruity while having delicious flavors of raisins and spice, plus layers of wood aging. It's a wine to savor, with its nuts, prunes and final acidity. ",Royal Oporto NV 20 Years Old Tawny  (Port),90,59,Port,Port
15%,Red,Spain,"Initially this seems completely flat and raisiny. Yet despite a flabby, heavy mouthfeel and roasted, syrupy flavors, it offers just enough life on the finish to merit a go with soft cheeses and the like. Think of it as Port with far less structure; drink now. ",Marques de Griñon 2006 Estate Bottled Syrah (Dominio de Valdepusa),84,40,Central Spain,Syrah
20%,Port/Sherry,Portugal,A beetroot character to this wine is off-putting. It masks the fruit and acidity that otherwise would show well. ,Wines & Winemakers NV Azul Portugal 10-Year-Old Tawny  (Port),83,22,Port,Port
20%,Port/Sherry,Portugal,"Fresh, fruity and light, this bright wine misses out on any flavor depth. What it does have is attractive acidity and berry fruits. It's the acidity that shows most strongly at the end. ",Barão de Vilar NV 10-Years-Old Tawny  (Port),87,10,Port,Port
20%,Port/Sherry,Portugal,"This is a style of Late Bottled Vintage that should be aged. It has great red and black fruits at this stage but will develop a more structured, dense and firm character as it matures. Give this well-made, juicy wine with its sweet black fruits at least until 2017. ",Poças 2009 Late Bottled Vintage  (Port),90,25,Port,Port
20%,Fortified,Portugal,"Made from one of the noble grapes of Madeira and aged in wood, this medium-dry wine is rich, concentrated and dense, with just hints of fruit and its original perfumed character. A wonderful tang shows at the end as freshness kicks in. Like any old wood-aged wine, it is ready to drink. ",Blandy's 1998 Colheita Single Harvest Verdelho (Madeira),95,50,Madeira,Verdelho
19.5%,Port/Sherry,Portugal,"This has just the right balance between the fresh fruit of younger Ports and the wood and dried fruit of aged tawnies. It's a dry style of Port, with a lift of acidity. It's delicious and, like all aged tawnies, ready to drink now. ",Quinta do Vallado NV 20 Years Old Tawny  (Port),90,110,Port,Port
20%,Port/Sherry,US,"Dark and viscous, this greets the nose with expected aromas of raisin and prune, but rises above with nutmeg, cardamom, clove and sleek graphite notes. The first impression on the palate is sweet plum nectar, but the grippy tannins prove seductive and the ripping acidity keeps it quaffable. The fascinating finish is all about chocolate-covered nuts. ",Williams Selyem 2009 Vista Verde Vineyard Port (San Benito County),93,40,California,Port
13%,Red,US,"There is a port-like character to this take on a once popular, now rare grape, grown in a historic corner of the Santa Clara Valley. It shows raisins, prunes and dried fig aromas, but not in a treacly way. Heavy and tannic on the palate, it's quite interesting though not entirely smooth, with more prune and rose-hip tea flavors. ",Fortino 2010 Charbono (Santa Clara Valley),88,40,California,Charbono
13%,White,Portugal,"This is a ripe, wood aged wine that has great structure as well as ample fruit flavor. It has a touch of toastiness—50% is aged in oak—although it is sophisticated and subtle. Apple, fresh apricot and green plum flavors show through the still young texture. All native grapes—35% Viosinho, 35% Rabigato and other locals from the estate—are the same used for Port blends. To bring out the richer, more rounded side of this wine, wait until 2017 to enjoy. ",Quinta de la Rosa 2014 Reserva Branco White (Douro),91,26,Douro,Portuguese White
19%,Port/Sherry,US,"Made entirely from Cabernet Sauvignon grapes and aged just over 10 years in barrel, Noble Companion is thick and hot, opening with a tawny taste of roasted pecans, viscous on the palate. It was bottled in 2015. ",Prager NV Noble Companion 10-Year-Old Tawny Port (Napa Valley),87,75,California,Port
20%,Port/Sherry,Portugal,"While this wine from a year that was not declared as a vintage, it has sweetness and ripe caramel and toffee character and it does, inevitably, show some age. So the acidity and intense wood flavors are dominant, giving a wine that is dry while still very drinkable. It is a Port that is so concentrated and dense—the distillation of a tawny. Drink this impressive wine now. ",Kopke 1941 Colheita Tawny  (Port),93,770,Port,Port
21.5%,Port/Sherry,Spain,"The most aged of the Palmas series, Cuatro displays powerful, almost fiery aromas of caramel and briny stone fruits. The palate is so charged up and acidic that it's no walk in the park to get through, while nutty flavors of rancio and burnt toast finish with heat. Of all the Palmas wines, this is the one that shows afterburners. ",González Byass NV Cuatro Palmas Amontillado Sherry (Jerez),91,114,Andalucia,Sherry
20%,Port/Sherry,Spain,"Pungent and pure up front, this 12-year-old Palo Cortado smells nutty and like toffee, with notes of orange peel and apricot. The palate reflects the bouquet, meaning it's clean and exact, with buttery flavors of dried nuts and not too much salt. This runs smooth on the finish and would be ideal in a savory soup or with sautéed mushrooms. ",González Byass NV Leonor Palo Cortado 12 Años Palomino (Jerez),91,26,Andalucia,Palomino
17.5%,Port/Sherry,Spain,"The core aroma on this semisweet Sherry is maple syrup, but overall the nose is fresh and vital. Although creamy, this is balanced as a whole. Flavors of mixed nuts and toffee are familiar, while the finish hums along with no faults or bumps. ",González Byass NV Cristina Medium Sherry (Jerez),91,26,Andalucia,Sherry
15%,Port/Sherry,Spain,"Raisin and fig aromas are good but not overly complex or special. This P. X. feels rich, chewy and a touch sticky, with sweet-as-sin fig, chocolate and cinnamon spice flavors that suggest coffee cake with a drizzle of melted fudge. ",González Byass NV Nectar Dulce Pedro Ximénez (Jerez),91,26,Andalucia,Pedro Ximénez
15%,Port/Sherry,Spain,"Oily aromas of almond extract and peanut butter are earthy, a tad briny and classic in terms of offering buttery, yeasty notes of flor. This feels round, oily and deeply textured. Flavors of almond skins, sea salt and dried stone fruits finish loud and long. ",Bodegas Hidalgo NV Manzanilla Pasada Pastrana Single Vineyard Sherry (Manzanilla-Sanlúcar de Barrameda),92,30,Andalucia,Sherry
